sample_index,datetime,source,cluster_id,is_noise
180,2023-11-16T01:39:53.901378+00:00,FILE,3,False
181,2023-11-15T18:51:17.228637+00:00,FILE,0,False
182,2023-11-15T18:49:31.499181+00:00,FILE,16,False
183,2023-11-15T19:17:04.232165+00:00,FILE,98,False
184,2022-05-07T05:25:24.156668+00:00,REG,95,False
185,2022-09-25T02:30:19.682047+00:00,REG,79,False
186,2022-09-25T02:42:11.280668+00:00,REG,22,False
187,2023-11-15T18:20:41.186417+00:00,EVT,54,False
188,2023-11-15T18:45:39.353892+00:00,FILE,1,False
189,2023-11-15T18:36:56.674784+00:00,FILE,80,False
190,2023-11-14T20:28:58.720606+00:00,FILE,3,False
191,2023-12-26T00:45:26.252351+00:00,FILE,66,False
192,2022-05-07T05:28:04.995137+00:00,REG,14,False
193,2022-05-07T05:19:43.929231+00:00,FILE,11,False
194,2022-05-07T05:20:09.374064+00:00,FILE,3,False
195,2023-12-26T15:09:20.673461+00:00,FILE,59,False
196,2023-12-26T00:17:20.844048+00:00,FILE,11,False
197,2023-11-14T20:03:47.953558+00:00,FILE,11,False
198,2022-05-07T05:28:01.948043+00:00,REG,14,False
199,2023-11-15T19:17:34.935241+00:00,FILE,82,False
200,2023-11-15T18:57:56.558124+00:00,FILE,7,False
201,2023-11-15T18:47:43.275877+00:00,FILE,44,False
202,2023-11-15T18:51:58.144853+00:00,FILE,0,False
203,2022-05-07T05:23:53.432363+00:00,REG,83,False
204,2022-05-07T07:29:39.154739+00:00,FILE,11,False
205,2022-09-25T02:32:53.270103+00:00,FILE,11,False
206,2023-11-15T18:56:20.848973+00:00,FILE,1,False
207,2023-11-15T18:30:22.834682+00:00,EVT,4,False
208,2023-11-14T20:04:42.463073+00:00,FILE,11,False
209,2023-11-15T18:49:59.777769+00:00,FILE,11,False
210,2022-05-07T05:23:56.135656+00:00,REG,17,False
211,2022-05-07T05:27:59.151026+00:00,REG,47,False
212,2023-12-26T00:23:04.689071+00:00,FILE,11,False
213,2023-11-15T19:00:20.332865+00:00,REG,98,False
214,2023-11-15T18:51:20.151871+00:00,FILE,13,False
215,2023-11-15T18:57:11.301792+00:00,FILE,44,False
216,2022-05-07T05:24:22.293165+00:00,REG,46,False
217,2023-12-26T00:43:25.660998+00:00,FILE,99,False
218,2023-11-15T18:47:55.491446+00:00,FILE,63,False
219,2023-12-26T00:15:34.377577+00:00,FILE,40,False
220,2023-11-15T18:47:59.649681+00:00,FILE,40,False
221,2023-11-15T18:57:36.791704+00:00,FILE,64,False
222,2023-11-15T18:47:35.381371+00:00,FILE,1,False
223,2023-11-15T18:46:24.760162+00:00,FILE,31,False
224,2023-11-15T18:51:35.270180+00:00,FILE,0,False
225,2023-11-16T01:40:27.320512+00:00,REG,28,False
226,2023-11-14T20:19:34.721994+00:00,FILE,11,False
227,2023-11-15T18:39:06.134597+00:00,FILE,80,False
228,2022-05-07T07:30:15.783738+00:00,FILE,11,False
229,2023-11-15T18:56:17.704085+00:00,FILE,51,False
230,2022-05-07T05:18:20.369819+00:00,FILE,11,False
231,2024-05-26T18:32:22.000000+00:00,PE,73,False
232,2023-11-15T18:57:46.889746+00:00,FILE,68,False
233,2023-11-15T18:47:42.393195+00:00,FILE,7,False
234,2023-11-14T20:06:30.407340+00:00,FILE,11,False
235,2023-11-15T17:55:30.629777+00:00,REG,29,False
236,2023-11-16T01:42:41.906092+00:00,FILE,11,False
237,2022-05-07T05:28:05.120150+00:00,REG,86,False
238,2022-05-07T07:39:21.698392+00:00,REG,47,False
239,2016-06-12T07:14:58.000000+00:00,FILE,1,False
240,2023-12-26T00:34:19.360227+00:00,EVT,30,False
241,2023-11-15T18:46:00.403047+00:00,FILE,51,False
242,2019-02-14T01:05:33.000000+00:00,PE,65,False
243,2023-11-14T20:38:15.627217+00:00,REG,47,False
244,2023-09-30T03:24:20.000000+00:00,FILE,0,False
245,2022-05-07T05:25:12.796493+00:00,REG,8,False
246,2023-11-15T18:41:02.973231+00:00,FILE,80,False
247,2023-11-15T18:32:59.964276+00:00,FILE,8,False
248,2023-11-15T17:58:25.204969+00:00,REG,29,False
249,2022-05-07T07:29:59.234489+00:00,FILE,11,False
250,2022-05-07T05:28:05.729577+00:00,REG,55,False
251,2023-11-15T19:13:24.369720+00:00,FILE,67,False
252,2022-05-07T05:28:05.245165+00:00,REG,14,False
253,2023-11-16T01:41:12.427507+00:00,EVT,62,False
254,2022-05-07T07:30:08.663080+00:00,FILE,3,False
255,2023-11-15T18:42:51.759600+00:00,FILE,80,False
256,2016-06-12T07:14:54.000000+00:00,FILE,1,False
257,2023-11-15T18:51:04.535278+00:00,FILE,63,False
258,2023-11-15T18:56:41.782119+00:00,FILE,52,False
259,2023-12-26T00:13:58.370801+00:00,FILE,61,False
260,2023-11-14T20:24:11.170508+00:00,FILE,11,False
261,2023-11-15T17:58:21.253400+00:00,REG,19,False
262,2023-11-16T01:38:01.523742+00:00,FILE,11,False
263,2023-11-16T01:35:03.883775+00:00,FILE,11,False
264,2023-11-15T18:45:27.709707+00:00,REG,35,False
265,2022-05-07T05:20:23.784054+00:00,FILE,11,False
266,2023-11-15T18:05:50.560084+00:00,EVT,62,False
267,2022-09-25T02:42:03.615442+00:00,REG,22,False
268,2023-11-15T18:51:15.261187+00:00,FILE,64,False
269,2022-05-07T05:19:01.577896+00:00,FILE,11,False
270,2022-05-07T05:19:44.386021+00:00,FILE,11,False
271,2023-11-16T01:39:36.859897+00:00,FILE,11,False
272,2022-05-07T05:28:01.932430+00:00,REG,43,False
273,2022-05-07T05:25:12.905884+00:00,REG,46,False
274,2023-09-30T09:36:18.000000+00:00,FILE,0,False
