representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 20}",69.218,,20,0,0.0,0.3876300752162933,1138.386894267821,2.501483355537996,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 2}",70.341,,2,0,0.0,0.0404631458222866,977.5529403491024,4.0453048664988565,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 30}",68.817,,30,0,0.0,0.4403417110443115,1214.3886704117926,2.098072582310172,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 3}",68.05,,3,0,0.0,0.0489099845290184,986.6285364858568,3.265190610182252,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 40}",69.611,,40,0,0.0,0.4997112452983856,1277.0002060483864,1.909479259395624,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 4}",73.933,,4,0,0.0,0.0654911175370216,1001.5473055913787,3.0827238557461443,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 50}",68.749,,50,0,0.0,0.536329984664917,1310.91573652363,1.739707989202251,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 5}",74.868,,5,0,0.0,0.1061948984861373,1008.6605061702722,3.2211997704008217,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 75}",67.814,,75,0,0.0,0.5819417834281921,1279.34533353767,1.6465640300090325,,,,,,
word2vec,agglomerative,42,"{""linkage"": ""ward"", ""n_clusters"": 8}",67.978,,8,0,0.0,0.1785557121038437,1030.5784993546883,3.4139027003269007,,,,,,
word2vec,kmeans,42,"{""n_clusters"": 100}",4.519,,100,0,0.0,0.6155778169631958,1308.1462807637304,1.2841619330114906,,,695347.5,,,
word2vec,kmeans,42,"{""n_clusters"": 10}",0.6,,10,0,0.0,0.0645201876759529,997.6727117047903,2.520024016734676,,,2119328.0,,,
word2vec,kmeans,42,"{""n_clusters"": 15}",0.907,,15,0,0.0,0.214752197265625,1033.533745981217,2.3212308774831887,,,1938764.5,,,
word2vec,kmeans,42,"{""n_clusters"": 20}",1.002,,20,0,0.0,0.2409181147813797,1087.4199075712577,1.977465432385464,,,1768800.625,,,
word2vec,kmeans,42,"{""n_clusters"": 2}",0.275,,2,0,0.0,-0.0104308426380157,984.94929806561,2.107323093205945,,,2451727.0,,,
word2vec,kmeans,42,"{""n_clusters"": 30}",1.504,,30,0,0.0,0.3757853806018829,1225.5561359188962,1.7455478330370269,,,1460926.0,,,
word2vec,kmeans,42,"{""n_clusters"": 3}",0.266,,3,0,0.0,0.0170242395251989,962.4678710528128,3.889636258953168,,,2407304.0,,,
word2vec,kmeans,42,"{""n_clusters"": 40}",2.026,,40,0,0.0,0.4843410551548004,1340.9991513113646,1.8311191107918856,,,1221406.375,,,
word2vec,kmeans,42,"{""n_clusters"": 4}",0.368,,4,0,0.0,-0.0581597611308097,981.565248540853,2.5632410062197244,,,2360946.75,,,
word2vec,kmeans,42,"{""n_clusters"": 50}",2.366,,50,0,0.0,0.5404993891716003,1421.0714327448438,1.5858553041040773,,,1044256.75,,,
word2vec,kmeans,42,"{""n_clusters"": 5}",0.41,,5,0,0.0,0.0937009155750274,937.4354674176312,3.792113321169132,,,2325587.25,,,
word2vec,kmeans,42,"{""n_clusters"": 75}",3.551,,75,0,0.0,0.5842559337615967,1368.5231731439574,1.3829382876062466,,,825503.375,,,
word2vec,kmeans,42,"{""n_clusters"": 8}",0.499,,8,0,0.0,-0.0043619261123239,931.611024760459,2.656406229609255,,,2211526.25,,,
