representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,silhouette_all,calinski_harabasz_all,davies_bouldin_all,inertia,bic,aic,stage_dir,parameter_value,parameter_type,parameter_note
word2vec,kmeans,101,"{""n_clusters"": 20}",4.671,,20,0,0.0,0.21819369494915,1098.1593753089633,1.90236186733627,,,,1763716.5,,,primary_k_sensitivity_seed101,20,k,Explicit k/n_components sensitivity value.
word2vec,kmeans,101,"{""n_clusters"": 50}",12.016,,50,0,0.0,0.5025744438171387,1382.8763363572311,1.4660161032680594,,,,1060871.875,,,primary_k_sensitivity_seed101,50,k,Explicit k/n_components sensitivity value.
word2vec,dbscan,101,"{""eps"": 2.351011, ""metric"": ""euclidean"", ""min_samples"": 5}",13.328,,664,6813,0.13626,0.8870691657066345,5110.839390527443,0.4702303655614179,0.6906890273094177,146.02343355337246,1.3073815798015416,,,,primary_k_sensitivity_seed101,"eps=2.351, min_samples=5",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
word2vec,dbscan,101,"{""eps"": 3.321065, ""metric"": ""euclidean"", ""min_samples"": 10}",15.735,,240,6354,0.12708,0.7087646722793579,1317.580616384217,0.7103498260790491,0.5580124258995056,282.8908939998572,1.366157148973801,,,,primary_k_sensitivity_seed101,"eps=3.321, min_samples=10",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
word2vec,dbscan,101,"{""eps"": 4.11729, ""metric"": ""euclidean"", ""min_samples"": 5}",27.458,,342,3057,0.06114,0.2959591448307037,245.53036607615832,0.5778324584415523,0.24508136510849,157.6927778018198,1.2577964606472287,,,,primary_k_sensitivity_seed101,"eps=4.117, min_samples=5",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
word2vec,dbscan,101,"{""eps"": 5.158165, ""metric"": ""euclidean"", ""min_samples"": 10}",64.494,,143,2866,0.05732,0.3104987740516662,334.83477174292983,0.6227340893634895,0.2566170990467071,231.1340560162484,1.3511474206503111,,,,primary_k_sensitivity_seed101,"eps=5.158, min_samples=10",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
word2vec,dbscan,101,"{""eps"": 5.780968, ""metric"": ""euclidean"", ""min_samples"": 5}",114.227,,202,1453,0.02906,0.3167169094085693,214.62453804626875,0.6063702081914267,0.2850992679595947,177.40665917522912,1.293533797090516,,,,primary_k_sensitivity_seed101,"eps=5.781, min_samples=5",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
word2vec,dbscan,101,"{""eps"": 7.085405, ""metric"": ""euclidean"", ""min_samples"": 10}",191.726,,66,1316,0.02632,0.3361707627773285,322.81823984784165,0.5758177634142985,0.3210400938987732,274.1324877086837,1.3817142347506408,,,,primary_k_sensitivity_seed101,"eps=7.085, min_samples=10",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
word2vec,hdbscan,101,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",53.049,,393,8310,0.1662,0.9104750156402588,3056.0021170397654,1.29372263932656,0.6782260537147522,202.74860526647564,1.9094169533526504,,,,primary_k_sensitivity_seed101,min_cluster_size=15,density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
word2vec,hdbscan,101,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 30, ""min_samples"": null}",58.035,,204,10067,0.20134,0.90987229347229,4153.291017569147,1.865382613659752,0.6368251442909241,268.0354435438396,2.456810675211279,,,,primary_k_sensitivity_seed101,min_cluster_size=30,density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
