representation,sample_size,seed,embedding_time_s,peak_memory_mb,device,embedding_cache_key,embedding_cache_path,embedding_cache_hit,embedding_load_time_s,embedding_dimensions,requested_pca_components,pca_applied,effective_dimensions,pca_explained_variance_ratio,clustering_method,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all,tfidf_features,tfidf_max_features,tfidf_min_df,tfidf_max_df,tfidf_svd_applied,tfidf_svd_components,dataset,experiment
tfidf,50000,789,3.073,110.404,cpu,tfidf_11effbbb6d7c494d,reports\week4_pilot\primary_optimal_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,,50,50,False,50,,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",7.247,,100,0,0.0,0.7075088620185852,2215.9018076003217,1.3784944775678485,-17829537.426163364,-17918608.367057625,,,,,5000.0,5000.0,5.0,0.95,True,50.0,scenario-1,optimal
word2vec,50000,42,0.054,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.054,100,50,True,50,0.9960249066352844,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",68.288,,100,0,0.0,0.6328935623168945,1235.5214735536763,1.4880555539387157,,,,,,,,,,,,,scenario-1,optimal
word2vec,50000,101,0.086,38.16,cpu,word2vec_00dd3b9a0f02577b,reports\week4_pilot\primary_optimal_seed101\cache\word2vec_00dd3b9a0f02577b.npz,True,0.083,100,50,True,50,0.9960289001464844,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",68.16,,100,0,0.0,0.6428629159927368,1210.1496047763883,1.5054148297577767,,,,,,,,,,,,,scenario-1,optimal
word2vec,50000,123,10.366,103.27,cpu,word2vec_589eceec29fc785c,reports\week4_pilot\primary_optimal_seed123\cache\word2vec_589eceec29fc785c.npz,False,,100,50,True,50,0.995886504650116,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",69.309,,100,0,0.0,0.6287596821784973,1253.8791860776955,1.401665919861073,,,,,,,,,,,,,scenario-1,optimal
word2vec,50000,456,9.958,103.305,cpu,word2vec_286867f4fc67e1ed,reports\week4_pilot\primary_optimal_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,100,50,True,50,0.9962106347084044,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",68.539,,100,0,0.0,0.6387800574302673,1246.496475255015,1.398975589638352,,,,,,,,,,,,,scenario-1,optimal
word2vec,50000,789,10.815,103.384,cpu,word2vec_8a7c6936009c00d7,reports\week4_pilot\primary_optimal_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,100,50,True,50,0.9959251284599304,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 100}",70.191,,100,0,0.0,0.6422392725944519,1256.8962701813905,1.426359195085389,,,,,,,,,,,,,scenario-1,optimal
word2vec,50000,42,0.055,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.055,100,50,True,50,0.9960249066352844,kmeans,"{""n_clusters"": 100}",4.519,,100,0,0.0,0.6155778169631958,1308.1462807637304,1.2841619330114906,,,695347.5,,,,,,,,,,scenario-1,optimal
word2vec,50000,101,0.086,38.16,cpu,word2vec_00dd3b9a0f02577b,reports\week4_pilot\primary_optimal_seed101\cache\word2vec_00dd3b9a0f02577b.npz,True,0.083,100,50,True,50,0.9960289001464844,kmeans,"{""n_clusters"": 100}",10.886,,100,0,0.0,0.6324513554573059,1281.0739075971512,1.352923135302604,,,705893.375,,,,,,,,,,scenario-1,optimal
word2vec,50000,123,10.366,103.27,cpu,word2vec_589eceec29fc785c,reports\week4_pilot\primary_optimal_seed123\cache\word2vec_589eceec29fc785c.npz,False,,100,50,True,50,0.995886504650116,kmeans,"{""n_clusters"": 100}",7.796,,100,0,0.0,0.6248676776885986,1323.8983770770822,1.3473239247247433,,,689356.4375,,,,,,,,,,scenario-1,optimal
word2vec,50000,456,9.958,103.305,cpu,word2vec_286867f4fc67e1ed,reports\week4_pilot\primary_optimal_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,100,50,True,50,0.9962106347084044,kmeans,"{""n_clusters"": 100}",8.43,,100,0,0.0,0.634193480014801,1306.8584241080837,1.3721946566454717,,,695842.8125,,,,,,,,,,scenario-1,optimal
word2vec,50000,789,10.815,103.384,cpu,word2vec_8a7c6936009c00d7,reports\week4_pilot\primary_optimal_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,100,50,True,50,0.9959251284599304,kmeans,"{""n_clusters"": 100}",7.603,,100,0,0.0,0.6344720125198364,1297.3581679118722,1.4507383306173085,,,699510.375,,,,,,,,,,scenario-1,optimal
word2vec,50000,42,0.055,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.055,100,50,True,50,0.9960249066352844,dbscan,"{""eps"": 1.854439, ""metric"": ""euclidean"", ""min_samples"": 5}",6.787,,682,7593,0.15186,0.9130724668502808,10603.726097117396,0.3679274318040281,,,,0.68630051612854,134.11885804783395,1.2717729687601786,,,,,,,scenario-1,optimal
word2vec,50000,101,0.086,38.16,cpu,word2vec_00dd3b9a0f02577b,reports\week4_pilot\primary_optimal_seed101\cache\word2vec_00dd3b9a0f02577b.npz,True,0.083,100,50,True,50,0.9960289001464844,dbscan,"{""eps"": 2.351011, ""metric"": ""euclidean"", ""min_samples"": 5}",11.648,,664,6813,0.13626,0.8870691657066345,5110.839390527443,0.4702303655614179,,,,0.6906890273094177,146.02343355337246,1.3073815798015416,,,,,,,scenario-1,optimal
word2vec,50000,123,10.366,103.27,cpu,word2vec_589eceec29fc785c,reports\week4_pilot\primary_optimal_seed123\cache\word2vec_589eceec29fc785c.npz,False,,100,50,True,50,0.995886504650116,dbscan,"{""eps"": 2.150507, ""metric"": ""euclidean"", ""min_samples"": 5}",9.194,,683,6853,0.13706,0.8889853358268738,6033.604577760285,0.4467425911683514,,,,0.6831737160682678,146.6025863123927,1.293758683522794,,,,,,,scenario-1,optimal
word2vec,50000,456,9.958,103.305,cpu,word2vec_286867f4fc67e1ed,reports\week4_pilot\primary_optimal_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,100,50,True,50,0.9962106347084044,dbscan,"{""eps"": 3.086135, ""metric"": ""euclidean"", ""min_samples"": 5}",10.522,,509,4647,0.09294,0.7240109443664551,1020.7327770231648,0.6768537203539262,,,,0.612053394317627,215.6256043440851,1.3189125964753814,,,,,,,scenario-1,optimal
word2vec,50000,789,10.815,103.384,cpu,word2vec_8a7c6936009c00d7,reports\week4_pilot\primary_optimal_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,100,50,True,50,0.9959251284599304,dbscan,"{""eps"": 1.942936, ""metric"": ""euclidean"", ""min_samples"": 5}",8.792,,641,7757,0.15514,0.9110289812088012,9420.913036612656,0.3816441521368851,,,,0.6842698454856873,137.6943186898951,1.2781469849745666,,,,,,,scenario-1,optimal
word2vec,50000,42,0.055,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.055,100,50,True,50,0.9960249066352844,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",60.418,,131,11693,0.23386,0.9169794917106628,4811.694293005985,2.42482772232499,,,,0.6009461879730225,330.9227384389572,2.9878766398979475,,,,,,,scenario-1,optimal
word2vec,50000,101,0.086,38.16,cpu,word2vec_00dd3b9a0f02577b,reports\week4_pilot\primary_optimal_seed101\cache\word2vec_00dd3b9a0f02577b.npz,True,0.083,100,50,True,50,0.9960289001464844,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",104.795,,131,11703,0.23406,0.9125378131866456,5166.353590788577,2.4763866352993835,,,,0.6033008694648743,323.7840792793683,3.014903885988822,,,,,,,scenario-1,optimal
word2vec,50000,123,10.366,103.27,cpu,word2vec_589eceec29fc785c,reports\week4_pilot\primary_optimal_seed123\cache\word2vec_589eceec29fc785c.npz,False,,100,50,True,50,0.995886504650116,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",88.26,,129,11600,0.232,0.9094730615615844,4813.926568472389,2.4640478270735584,,,,0.5904406905174255,322.5603891206989,3.064817103936452,,,,,,,scenario-1,optimal
word2vec,50000,456,9.958,103.305,cpu,word2vec_286867f4fc67e1ed,reports\week4_pilot\primary_optimal_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,100,50,True,50,0.9962106347084044,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",62.739,,126,12015,0.2403,0.9203651547431946,5200.500892058339,3.4654861237238044,,,,0.5923402905464172,313.17560051422254,3.9604756245404342,,,,,,,scenario-1,optimal
word2vec,50000,789,10.815,103.384,cpu,word2vec_8a7c6936009c00d7,reports\week4_pilot\primary_optimal_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,100,50,True,50,0.9959251284599304,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",61.832,,128,11936,0.23872,0.9184384942054749,5894.079193303282,2.664682309884724,,,,0.5964797735214233,310.9897788265225,3.207631519981996,,,,,,,scenario-1,optimal
word2vec,50000,42,0.055,38.198,cpu,word2vec_da1df13ea1ae6270,reports\week2\cache\word2vec_da1df13ea1ae6270.npz,True,0.055,100,50,True,50,0.9960249066352844,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",6.522,,100,0,0.0,0.6426795721054077,949.631209787783,2.282203879713073,-14768821.380294155,-14857892.321188414,,,,,,,,,,,scenario-1,optimal
word2vec,50000,101,0.086,38.16,cpu,word2vec_00dd3b9a0f02577b,reports\week4_pilot\primary_optimal_seed101\cache\word2vec_00dd3b9a0f02577b.npz,True,0.083,100,50,True,50,0.9960289001464844,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",8.47,,100,0,0.0,0.6322863101959229,953.2013909738894,2.299396544772403,-14060635.975230116,-14149706.916124376,,,,,,,,,,,scenario-1,optimal
word2vec,50000,123,10.366,103.27,cpu,word2vec_589eceec29fc785c,reports\week4_pilot\primary_optimal_seed123\cache\word2vec_589eceec29fc785c.npz,False,,100,50,True,50,0.995886504650116,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",11.548,,100,0,0.0,0.6179584264755249,941.9145445272592,2.265483455056564,-13773926.637700329,-13862997.578594586,,,,,,,,,,,scenario-1,optimal
word2vec,50000,456,9.958,103.305,cpu,word2vec_286867f4fc67e1ed,reports\week4_pilot\primary_optimal_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,100,50,True,50,0.9962106347084044,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",6.398,,100,0,0.0,0.6348990797996521,943.1375996777426,1.9153574902544053,-14858614.389919795,-14947685.330814056,,,,,,,,,,,scenario-1,optimal
