representation,clustering_method,cluster_id,size,top_terms,output_path,status
tfidf,hdbscan,51,32,num_token; path_token; source_reg; deriveddata; winbuild; componentfamilies; reg_dword_le; ct; reg_binary,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_51.png,ok
tfidf,hdbscan,52,30,num_token; update; source_file; tmp; parent; source; reason; usn_reason_data_extend; usn_reason_file_create; usn_reason_file_delete; usn_reason_close; hex_token; usn_reason_data_truncation; appx; ydzl; tmul; yntqeod; yeo,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_52.png,ok
tfidf,hdbscan,53,37,num_token; reg_dword_le; hex_token; reg_sz; path_token; package; source_reg; hkey_local_machine; based; servicing; currentstate; installclient; installlocation; installname; amd; mum; installtimehigh; installtimelow; installuser; selfupdate,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_53.png,ok
tfidf,hdbscan,54,16,num_token; reg_dword_le; path_token; reg_sz; package; source_reg; hkey_local_machine; based; servicing; currentstate; installclient; installlocation; installname; hex_token; amd; mum; selfupdate; visibility; updateagent; hyperv,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_54.png,ok
tfidf,hdbscan,55,120,num_token; path_token; hex_token; reg_dword_le; amd; package; source_reg; hkey_local_machine; based; servicing; en; client; wow; hyperv; desktop; merged; containers; opt; multimedia; shared,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_55.png,ok
tfidf,hdbscan,56,36,path_token; source_file; cache; directory; sdk; store; apps; libs; _en; msi,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_56.png,ok
tfidf,hdbscan,57,17,path_token; source_file; cache,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_57.png,ok
tfidf,hdbscan,58,53,reg_sz; source_reg; hkey_local_machine; path_token; configuration; description; manufacturer; no_drv; intel_mfg; devicedesc; nt; _amd; wlh; _desc; mrvl; profile_; device_; cht; chelsio; bus,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_58.png,ok
tfidf,hdbscan,59,16,reg_sz; path_token; source_reg; hkey_local_machine; configuration; description; manufacturer; pci; nt; hid_; _keyboard_inst; hid; usb; intel; toshiba; hid_inst; mfg; msft; pci_bridge; gendev_mfg,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_59.png,ok
tfidf,hdbscan,60,15,reg_sz; path_token; source_reg; hkey_local_machine; configuration; megasr_inst; description; pci; manufacturer; lsi,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_60.png,ok
tfidf,hdbscan,61,21,path_token; source_file; common; shared; tools; directory,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_61.png,ok
tfidf,hdbscan,62,18,path_token; tools; source_file; visual; studio; analysis; sets; directory,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_62.png,ok
tfidf,hdbscan,63,22,path_token; source_file; tools; menu; lnk; prompt; vgauth; services; directory,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_63.png,ok
tfidf,hdbscan,64,43,path_token; source_file; visual; studio; tools; shared; directory,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_64.png,ok
tfidf,hdbscan,65,22,path_token; source_file; visual; studio; tools; directory; manager,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_65.png,ok
tfidf,hdbscan,66,141,path_token; source_file; visual; studio; tools; manager; link,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_66.png,ok
tfidf,hdbscan,67,21,num_token; update; source_file; png; parent; source; reason; usn_reason_data_extend; usn_reason_file_create; scale; usn_reason_close; contrast; onedrivemedtile; logo; white_scale; onedrivesmalltile; splashscreen; th; black_scale; square,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_67.png,ok
tfidf,hdbscan,68,33,path_token; source_reg; sequencemap; level; reg_dword_le; num_token; path; reg_sz; power,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_68.png,ok
tfidf,hdbscan,69,72,num_token; update; source_file; lib; parent; source; reason; usn_reason_file_create; vcomp; aux_ulib; ksuser; ai; machinelearning; ddraw; comsupp; fileextd; pgraph; wofutil; mfreadwrite; projectedfslib,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_69.png,ok
tfidf,hdbscan,70,22,path_token; source_reg; sequencemap; level; reg_dword_le; num_token; path; reg_sz; policies,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_70.png,ok
tfidf,hdbscan,71,39,num_token; update; source_file; lib; parent; source; reason; usn_reason_data_overwrite; usn_reason_data_extend; usn_reason_file_create; usn_reason_basic_info_change; usn_reason_close; inseng; wmcodecdspuuid; olepro; pgraph; wer; srpapi; xpsdocumenttargetprint; corelib,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_71.png,ok
tfidf,hdbscan,72,36,path_token; reg_dword_le; num_token; source_reg; path; reg_sz; action; vendor; connections; sequencemap; level; requiresreboot; cm_cellularentries; connectivityprofiles; smisettings; supl; securestart; devicemanagement; cleanpc; enterpriseapn,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_72.png,ok
tfidf,hdbscan,73,47,path_token; source_reg; sequencemap; level; reg_dword_le; num_token; path; reg_sz; cellcore; smisettings; connections; devicemanagement; cellular; provisioningcommands; connectivityprofiles; securestart; tenantdefinedtelemetry; certificates; networklistmanager; hotspot,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_73.png,ok
tfidf,hdbscan,74,43,num_token; update; source_file; lib; parent; source; reason; usn_reason_data_overwrite; usn_reason_data_extend; usn_reason_file_create; usn_reason_basic_info_change; ucrt; osmode; mqrt; faultrep; uiautomationcore; wdsbp; appnotify; basesrv; scarddlg,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_74.png,ok
tfidf,hdbscan,75,45,num_token; update; source_file; lib; parent; source; reason; usn_reason_data_overwrite; usn_reason_data_extend; usn_reason_file_create; ndfapi; bufferoverflowu; msimg; ualapi; mpr; httpapi; devenum; icuin; rtutils; ondemandconnroutehelper,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_75.png,ok
tfidf,hdbscan,76,15,source_reg; smisettings; path_token; display; reg_sz; block; allow; shutdown; device; restart; shell,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_76.png,ok
tfidf,hdbscan,77,24,num_token; update; source_file; tmp; parent; source; reason; usn_reason_file_delete; usn_reason_close; rf; tpm; preferences; tw; msi; ac; set; msicae; af; dela; seta,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_77.png,ok
tfidf,hdbscan,78,17,num_token; update; source_file; install; tmp; parent; source; reason; usn_reason_file_delete; usn_reason_close,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_78.png,ok
tfidf,hdbscan,79,44,num_token; reg_binary; cbs_microsoft; package; bf; client; desktop; required; hex_token; source_reg; canonicaldata; path_token; appid; catalogthumbprint; reg_sz; iis; webserver; ad; addon; wow,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_79.png,ok
tfidf,hdbscan,80,17,source_reg; path_token; display; reg_sz; cellular; use; cellcore; connections; disabled; connected; home; network; universalappinstall; launch; app; connectivityprofiles; lte; signal; unifiedwritefilter; exclusion,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_80.png,ok
tfidf,hdbscan,81,15,num_token; update; source_file; png; parent; source; reason; usn_reason_file_create; scale; splashscreen; onedrivesmalltile; square; logo; altform; unplated_targetsize; onedrivelogo; contrast; black_scale; openfolder; storelogo,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_81.png,ok
